StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q2,Q3,Q3_7_TEXT,Q4_1,Q4_2,Q5,Q6_1,Q6_2,Q6_3,Q7,Q8,Q8_5_TEXT,Q9,Q10,Q11,Q11_4_TEXT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please indicate your level of agreement with the following statement, where 1 = Strongly disagree, 2 = Disagree, 3 = Neither agree nor disagree, 4 = Agree, and 5 = Strongly agree. - I have a clear understanding of grid congestion and what it means for my business.",At which times of the day do you believe the electricity grid is most congested?,In which year do you think peak-hour electricity pricing will be introduced? - Selected Choice,In which year do you think peak-hour electricity pricing will be introduced? - Other - Text,"Please indicate your level of agreement with the following statement, where 1 = Strongly disagree, 2 = Disagree, 3 = Neither agree nor disagree, 4 = Agree, and 5 = Strongly agree. - Reducing electricity costs is an important objective for our business.","Please indicate your level of agreement with the following statement, where 1 = Strongly disagree, 2 = Disagree, 3 = Neither agree nor disagree, 4 = Agree, and 5 = Strongly agree. - If electricity prices increase during certain hours, we would want to adjust our electricity usage.",To what extent do you intend to reduce your electricity consumption during peak hours?,"Please indicate your level of agreement with the following statement, where 1 = Strongly disagree, 2 = Disagree, 3 = Neither agree nor disagree, 4 = Agree, and 5 = Strongly agree. - Responding to changes in electricity prices would require operational adjustments that are too complex to implement consistently.","Please indicate your level of agreement with the following statement, where 1 = Strongly disagree, 2 = Disagree, 3 = Neither agree nor disagree, 4 = Agree, and 5 = Strongly agree. - We can shift our electricity use away from peak hours without harming our business operations.","Please indicate your level of agreement with the following statement, where 1 = Strongly disagree, 2 = Disagree, 3 = Neither agree nor disagree, 4 = Agree, and 5 = Strongly agree. - I do not know how to shift our energy use away from peak hours.",Which statement best describes your current situation? Please select one.,What type of hospitality business do you operate? - Selected Choice,What type of hospitality business do you operate? - Other - Text,Approximately how many employees does your business have?,Who mainly decides operational changes related to energy use?,What is your role in the company? - Selected Choice,What is your role in the company? - Other - Text
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_7_TEXT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_5_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_4_TEXT""}"
2026-02-10 15:51:03,2026-02-10 15:53:41,0,82.101.217.25,100,158,1,2026-02-10 15:53:41,R_2oXGMUytVDvEmQU,,,,,52.208,4.4201,anonymous,EN,2,"6,7",6,,2,3,2,5,1,5,1,2,,3,2,2,
2026-02-10 17:40:34,2026-02-10 17:42:54,0,92.110.15.45,100,140,1,2026-02-10 17:42:54,R_2AC68WwvGht9cJj,,,,,51.9188,4.4721,anonymous,EN,3,7,3,,3,4,2,3,2,3,3,2,,3,1,3,
2026-02-10 17:52:18,2026-02-10 20:43:43,0,172.225.229.132,100,10284,1,2026-02-10 20:43:43,R_8pMaZXxmvFfwDOJ,,,,,52.3759,4.8975,anonymous,EN,3,7,6,,4,3,6,5,1,5,3,2,,3,1,1,
2026-02-11 17:36:33,2026-02-11 17:39:12,0,172.226.96.46,100,158,1,2026-02-11 17:39:12,R_8TGjB1QhehKRsRP,,,,,52.3759,4.8975,qr,EN,2,"5,6,7",2,,3,5,4,2,2,2,1,1,,2,4,2,
2026-02-11 17:54:37,2026-02-11 17:56:19,0,77.248.226.169,100,102,1,2026-02-11 17:56:20,R_8IMAIIPjHtN0Zez,,,,,51.9156,4.5146,anonymous,EN,2,6,6,,4,4,6,3,3,4,1,3,,2,1,3,
2026-02-11 18:02:26,2026-02-11 18:03:34,0,81.47.0.156,100,68,1,2026-02-11 18:03:34,R_8VK3Lx9Q0LCs3bX,,,,,41.3891,2.1606,anonymous,EN,4,"4,6",3,,4,5,4,4,2,2,3,1,,1,1,3,
2026-02-11 17:45:57,2026-02-11 18:05:28,0,77.248.226.169,100,1170,1,2026-02-11 18:05:28,R_8oLNQvslmNnhzW5,,,,,51.9156,4.5146,qr,EN,2,5,6,,4,4,3,1,1,2,1,1,,2,2,3,
2026-02-11 18:15:42,2026-02-11 18:18:12,0,77.248.226.169,100,150,1,2026-02-11 18:18:12,R_83s4fgeybMWCSFR,,,,,51.9156,4.5146,anonymous,EN,2,7,5,,4,5,4,3,2,3,3,4,,2,4,3,
2026-02-11 18:35:22,2026-02-11 18:41:24,0,77.60.234.212,100,362,1,2026-02-11 18:41:25,R_8jOHDsQ5i0giCQf,,,,,51.992,4.4811,anonymous,EN,2,3,3,,4,3,3,5,1,5,1,2,,4,1,1,
2026-02-11 20:44:04,2026-02-11 20:48:07,0,89.98.143.71,100,242,1,2026-02-11 20:48:07,R_8llY8z1uIUZfELY,,,,,51.8521,4.5326,qr,EN,1,6,6,,3,4,2,3,2,4,1,2,,3,4,2,
2026-02-11 21:50:10,2026-02-11 21:55:49,0,84.31.70.7,100,338,1,2026-02-11 21:55:50,R_2Eu4VLEWVFrOo7j,,,,,52.2592,4.5001,anonymous,EN,4,"4,5,6",6,,3,4,1,3,1,4,3,2,,3,1,2,
2026-02-10 17:46:07,2026-02-10 17:46:12,0,94.209.9.130,8,4,0,2026-02-17 17:46:12,R_831TatkETB5Vwqq,,,,,52.199,4.4006,anonymous,EN,,,,,,,,,,,,,,,,,
2026-02-11 17:38:23,2026-02-11 17:39:09,0,80.56.21.170,8,46,0,2026-02-18 17:39:11,R_2axCN0NdyPU1Er2,,,,,51.9179,4.4901,qr,EN,,,,,,,,,,,,,,,,,
2026-02-11 17:37:15,2026-02-11 17:42:00,0,145.128.223.40,33,285,0,2026-02-18 17:42:01,R_20TzTHhYzAQPYXG,,,,,51.4045,3.8916,qr,EN,3,7,6,,,,,,,,,,,,,,
2026-02-11 17:40:46,2026-02-11 17:42:04,0,77.61.134.172,8,77,0,2026-02-18 17:42:04,R_2disE6rPCFvAdh0,,,,,52.2122,4.6468,qr,EN,,,,,,,,,,,,,,,,,
2026-02-11 17:39:51,2026-02-11 17:44:41,0,178.84.199.182,50,290,0,2026-02-18 17:44:46,R_2L2aSv8feNCidTu,,,,,51.9357,4.4884,qr,EN,4,"6,7,8",1,,4,3,6,,,,,,,,,,
